1. Matches(date=7:1:2022, team1=FC Bayern Munich, team2=Borussia Monchengladbach, result=1:02, watchers=NULL, stadium=NULL)
2. Matches(date=8:1:2022, team1=TSG 1899 Hoffenheim, team2=FC Augsburg, result=3:01, watchers=500, stadium=NULL)
3. Matches(date=8:1:2022, team1=Freiburg, team2=Arminia Bielefeld, result=2:02, watchers=500, stadium=NULL)
4. Matches(date=8:1:2022, team1=Bayer 04 Leverkusen, team2=1. FC Union Berlin, result=2:02, watchers=NULL, stadium=NULL)
5. Matches(date=8:1:2022, team1=SpVgg Greuther Fürth, team2=Stuttgart, result=0:00, watchers=NULL, stadium=NULL)
6. Matches(date=8:1:2022, team1=RB Leipzig, team2=1. FSV Mainz 05, result=4:01, watchers=NULL, stadium=NULL)
7. Matches(date=8:1:2022, team1=Eintracht Frankfurt, team2=Borussia Dortmund, result=2:03, watchers=250, stadium=NULL)
8. Matches(date=9:1:2022, team1=Hertha BSC, team2=1. FC Cologne, result=1:03, watchers=3000, stadium=NULL)
9. Matches(date=9:1:2022, team1=VfL Bochum, team2=VfL Wolfsburg, result=1:00, watchers=NULL, stadium=NULL)
10. Matches(date=14:1:2022, team1=Borussia Dortmund, team2=Freiburg, result=5:01, watchers=750, stadium=NULL)
11. Matches(date=15:1:2022, team1=1. FC Cologne, team2=FC Bayern Munich, result=0:04, watchers=1000, stadium=NULL)
12. Matches(date=15:1:2022, team1=1. FSV Mainz 05, team2=VfL Bochum, result=1:00, watchers=1000, stadium=NULL)
13. Matches(date=15:1:2022, team1=1. FC Union Berlin, team2=TSG 1899 Hoffenheim, result=2:01, watchers=3000, stadium=NULL)
14. Matches(date=15:1:2022, team1=Stuttgart, team2=RB Leipzig, result=0:02, watchers=500, stadium=NULL)
15. Matches(date=15:1:2022, team1=VfL Wolfsburg, team2=Hertha BSC, result=0:00, watchers=500, stadium=NULL)
16. Matches(date=15:1:2022, team1=Borussia Monchengladbach, team2=Bayer 04 Leverkusen, result=1:02, watchers=750, stadium=NULL)
17. Matches(date=16:1:2022, team1=FC Augsburg, team2=Eintracht Frankfurt, result=1:01, watchers=NULL, stadium=NULL)
18. Matches(date=16:1:2022, team1=Arminia Bielefeld, team2=SpVgg Greuther Fürth, result=2:02, watchers=750, stadium=NULL)
19. Matches(date=21:1:2022, team1=Eintracht Frankfurt, team2=Arminia Bielefeld, result=0:02, watchers=1000, stadium=NULL)
20. Matches(date=22:1:2022, team1=TSG 1899 Hoffenheim, team2=Borussia Dortmund, result=2:03, watchers=500, stadium=NULL)
21. Matches(date=22:1:2022, team1=SpVgg Greuther Fürth, team2=1. FSV Mainz 05, result=2:01, watchers=NULL, stadium=NULL)
22. Matches(date=22:1:2022, team1=Freiburg, team2=Stuttgart, result=2:00, watchers=500, stadium=NULL)
23. Matches(date=22:1:2022, team1=Borussia Monchengladbach, team2=1. FC Union Berlin, result=1:02, watchers=750, stadium=NULL)
